key,en,es,fr,zh,hi,ko
appt_text,"Book a confidential counseling session with one of our trained support specialists. Sessions are available for various needs including therapy check-ins, consultations, and ongoing support.","Reserva una sesión de consejería confidencial con uno de nuestros especialistas de apoyo capacitados. Las sesiones están disponibles para diversas necesidades, incluyendo chequeos de terapia, consultas y apoyo continuo.","Réservez une session de conseil confidentielle avec l'un de nos spécialistes formés. Les sessions sont disponibles pour divers besoins, y compris les suivis thérapeutiques, consultations et soutien continu.",与我们训练有素的支持专家预约保密咨询。我们提供各种需求的会话，包括治疗检查、咨询和持续支持。,"हमारे प्रशिक्षित सहायता विशेषज्ञों में से एक के साथ गोपनीय परामर्श सत्र बुक करें। सत्र थेरेपी चेक-इन, परामर्श और निरंतर सहायता सहित विभिन्न जरूरतों के लिए उपलब्ध हैं।","훈련받은 상담 전문가와 비밀이 보장되는 상담 세션을 예약하세요. 치료 점검, 상담, 지속적인 지원 등 다양한 필요에 맞는 세션이 가능합니다."
appt_time_label,Preferred Time,Hora Preferida,Heure Préférée,首选时间,पसंदीदा समय,희망 시간
appt_time_select,Select a time,Selecciona una hora,Sélectionner une heure,选择时间,समय चुनें,시간 선택
appt_title,Schedule a Support Session,Programa una Sesión de Apoyo,Planifier une Session de Soutien,预约支持会话,सहायता सत्र शेड्यूल करें,상담 세션 예약
appt_type_checkin,Check-in Call,Llamada de Seguimiento,Appel de Suivi,跟进电话,चेक-इन कॉल,점검 통화
appt_type_consultation,Initial Consultation,Consulta Inicial,Consultation Initiale,初次咨询,प्रारंभिक परामर्श,초기 상담
appt_type_crisis,Crisis Support,Apoyo en Crisis,Soutien en Crise,危机支持,संकट सहायता,위기 상담
appt_type_label,Type of Support,Tipo de Apoyo,Type de Soutien,支持类型,सहायता का प्रकार,상담 유형
appt_type_other,Other,Otro,Autre,其他,अन्य,기타
appt_type_select,Select support type,Selecciona tipo de apoyo,Sélectionner le type de soutien,选择支持类型,सहायता प्रकार चुनें,상담 유형 선택
appt_type_therapy,Therapy Session,Sesión de Terapia,Session de Thérapie,治疗会话,थेरेपी सत्र,치료 세션
appt_virtual,Virtual Options,Opciones Virtuales,Options Virtuelles,在线选项,वर्चुअल विकल्प,온라인 옵션
article_10_min_read,10 min read,10 min de lectura,10 min de lecture,10分钟阅读,10 मिनट पढ़ना,10분 소요
article_12_min_read,12 min read,12 min de lectura,12 min de lecture,12分钟阅读,12 मिनट पढ़ना,12분 소요
article_15_min_read,15 min read,15 min de lectura,15 min de lecture,15分钟阅读,15 मिनट पढ़ना,15분 소요
article_anxiety_h2_1,What is Anxiety?,¿Qué es la Ansiedad?,Qu'est-ce que l'Anxiété ?,什么是焦虑？,चिंता क्या है?,불안이란 무엇인가요?
article_anxiety_h2_2,Types of Anxiety Disorders,Tipos de Trastornos de Ansiedad,Types de Troubles Anxieux,焦虑症的类型,चिंता विकारों के प्रकार,불안장애의 유형
article_anxiety_h2_3,Common Symptoms of Anxiety,Síntomas Comunes de la Ansiedad,Symptômes Courants de l'Anxiété,焦虑的常见症状,चिंता के सामान्य लक्षण,불안의 일반적인 증상
article_anxiety_h2_4,Causes and Risk Factors,Causas y Factores de Riesgo,Causes et Facteurs de Risque,原因和风险因素,कारण और जोखिम कारक,원인과 위험 요인
article_anxiety_h2_5,Treatment Options,Opciones de Tratamiento,Options de Traitement,治疗选择,उपचार विकल्प,치료 옵션
article_anxiety_h2_6,Self-Help Strategies,Estrategias de Autoayuda,Stratégies d'Auto-Aide,自助策略,स्व-सहायता रणनीतियां,자가도움 전략
article_anxiety_h2_7,When to Seek Professional Help,Cuándo Buscar Ayuda Profesional,Quand Chercher une Aide Professionnelle,何时寻求专业帮助,पेशेवर मदद कब लें,전문적인 도움을 받아야 할 때
article_anxiety_h3_1,Generalized Anxiety Disorder (GAD),Trastorno de Ansiedad Generalizada (TAG),Trouble Anxieux Généralisé (TAG),广泛性焦虑障碍 (GAD),सामान्यीकृत चिंता विकार (GAD),범불안장애 (GAD)
article_anxiety_h3_10,Life Experiences,Experiencias de Vida,Expériences de Vie,生活经历,जीवन के अनुभव,생애 경험
article_anxiety_h3_11,Personality,Personalidad,Personnalité,性格特征,व्यक्तित्व,성격
article_anxiety_h3_12,Psychotherapy,Psicoterapia,Psychothérapie,心理治疗,मनोचिकित्सा,심리치료
article_anxiety_h3_13,Medication,Medicación,Médicaments,药物治疗,दवाएं,약물
article_anxiety_h3_2,Panic Disorder,Trastorno de Pánico,Trouble Panique,恐慌障碍,पैनिक विकार,공황장애
article_anxiety_h3_3,Social Anxiety Disorder,Trastorno de Ansiedad Social,Trouble d'Anxiété Sociale,社交焦虑障碍,सामाजिक चिंता विकार,사회불안장애
article_anxiety_h3_4,Specific Phobias,Fobias Específicas,Phobies Spécifiques,特定恐惧症,विशिष्ट फोबिया,특정 공포증
article_anxiety_h3_5,Separation Anxiety Disorder,Trastorno de Ansiedad por Separación,Trouble d'Anxiété de Séparation,分离焦虑障碍,विच्छेद चिंता विकार,분리불안장애
article_anxiety_h3_6,Physical Symptoms,Síntomas Físicos,Symptômes Physiques,躯体症状,शारीरिक लक्षण,신체적 증상
article_anxiety_h3_7,Psychological Symptoms,Síntomas Psicológicos,Symptômes Psychologiques,心理症状,मनोवैज्ञानिक लक्षण,심리적 증상
article_anxiety_h3_8,Genetics,Genética,Génétique,遗传因素,आनुवंशिकी,유전
article_anxiety_h3_9,Brain Chemistry,Química Cerebral,Chimie du Cerveau,大脑化学物质,मस्तिष्क रसायन,뇌 화학
article_anxiety_li1,Racing heart or heart palpitations,Corazón acelerado o palpitaciones cardíacas,Cœur qui s'emballe ou palpitations cardiaques,心跳加速或心悸,तेज़ दिल की धड़कन या दिल की धड़कन,빠른 심장 박동 또는 심장 두근거림
article_anxiety_li10,Excessive worry that's hard to control,Preocupación excesiva difícil de controlar,Inquiétude excessive difficile à contrôler,难以控制的过度担忧,अत्यधिक चिंता जो नियंत्रित करना कठिन है,통제하기 어려운 과도한 걱정
article_anxiety_li11,"Feeling restless, keyed up, or on edge","Sentirse inquieto, nervioso o al límite","Sentiment d'agitation, de nervosité ou d'être sur les nerfs",感到坐立不安、紧张或处于边缘状态,"बेचैन, उत्तेजित या किनारे पर महसूस करना","안절부절하거나, 긴장하거나, 예민한 느낌"
article_anxiety_li12,Difficulty concentrating or mind going blank,Dificultad para concentrarse o mente en blanco,Difficulté à se concentrer ou trou de mémoire,注意力难以集中或头脑一片空白,ध्यान केंद्रित करने में कठिनाई या दिमाग का खाली होना,집중하기 어려움 또는 머리가 멍해지는 느낌
article_anxiety_li13,Irritability,Irritabilidad,Irritabilité,易怒,चिड़चिड़ापन,짜증
article_anxiety_li14,"Fear of losing control or ""going crazy""","Miedo a perder el control o ""volverse loco""",Peur de perdre le contrôle ou de « devenir fou »,害怕失控或「发疯」,"नियंत्रण खोने या ""पागल"" होने का डर","통제력을 잃거나 ""미쳐가는"" 것에 대한 두려움"
article_anxiety_li15,Feeling detached from yourself or surroundings,Sentirse desconectado de uno mismo o del entorno,Sentiment de détachement de soi-même ou de son environnement,感觉与自己或周围环境脱节,खुद से या अपने परिवेश से अलग महसूस करना,자신이나 주변 환경에서 분리된 느낌
article_anxiety_li16,Constantly anticipating the worst,Anticipar constantemente lo peor,Anticipation constante du pire,总是预期最坏的结果,लगातार सबसे बुरे की आशंका,끊임없이 최악을 예상함
article_anxiety_li17,Antidepressants (SSRIs and SNRIs) are commonly prescribed,Los antidepresivos (ISRS e IRSN) se recetan comúnmente,Les antidépresseurs (ISRS et IRSN) sont couramment prescrits,抗抑郁药（SSRIs和SNRIs）是常用的处方药,एंटीडिप्रेसेंट (SSRIs और SNRIs) आमतौर पर निर्धारित किए जाते हैं,항우울제(SSRI 및 SNRI)가 일반적으로 처방됩니다
article_anxiety_li18,Anti-anxiety medications (benzodiazepines) for short-term relief,Medicamentos ansiolíticos (benzodiazepinas) para alivio a corto plazo,Les médicaments anxiolytiques (benzodiazépines) pour un soulagement à court terme,抗焦虑药物（苯二氮卓类）用于短期缓解,अल्पकालिक राहत के लिए चिंता-विरोधी दवाएं (बेंज़ोडायज़ेपाइन),항불안제(벤조디아제핀)는 단기 완화용
article_anxiety_li19,Beta-blockers to manage physical symptoms,Betabloqueadores para manejar los síntomas físicos,Les bêta-bloquants pour gérer les symptômes physiques,β受体阻滞剂用于管理躯体症状,शारीरिक लक्षणों को प्रबंधित करने के लिए बीटा-ब्लॉकर्स,베타 차단제로 신체 증상 관리
article_anxiety_li2,Shortness of breath or feeling of choking,Dificultad para respirar o sensación de ahogo,Essoufflement ou sensation d'étouffement,呼吸急促或窒息感,सांस की तकलीफ या घुटन की भावना,숨가쁨 또는 질식하는 느낌
article_anxiety_li20,<strong>Exercise regularly:</strong> Physical activity is a natural anxiety reliever. Aim for at least 30 minutes most days.,<strong>Haz ejercicio regularmente:</strong> La actividad física es un alivio natural de la ansiedad. Intenta al menos 30 minutos la mayoría de los días.,<strong>Faites de l'exercice régulièrement :</strong> L'activité physique est un anti-anxiété naturel. Visez au moins 30 minutes la plupart des jours.,<strong>定期锻炼：</strong>体育活动是天然的焦虑缓解剂。每天至少锻炼30分钟。,<strong>नियमित व्यायाम करें:</strong> शारीरिक गतिविधि एक प्राकृतिक चिंता निवारक है। अधिकांश दिनों में कम से कम 30 मिनट का लक्ष्य रखें।,<strong>규칙적인 운동:</strong> 신체 활동은 자연스러운 불안 완화제입니다. 대부분의 날 최소 30분을 목표로 하세요.
article_anxiety_li21,"<strong>Practice relaxation techniques:</strong> Deep breathing, progressive muscle relaxation, and mindfulness meditation can calm your mind.","<strong>Practica técnicas de relajación:</strong> La respiración profunda, la relajación muscular progresiva y la meditación de atención plena pueden calmar tu mente.","<strong>Pratiquez des techniques de relaxation :</strong> La respiration profonde, la relaxation musculaire progressive et la méditation de pleine conscience peuvent calmer votre esprit.",<strong>练习放松技巧：</strong>深呼吸、渐进性肌肉放松和正念冥想可以平静您的心灵。,"<strong>विश्राम तकनीकों का अभ्यास करें:</strong> गहरी सांस, प्रगतिशील मांसपेशी विश्राम और माइंडफुलनेस ध्यान आपके मन को शांत कर सकते हैं।","<strong>이완 기법 연습:</strong> 심호흡, 점진적 근육 이완, 마음챙김 명상이 마음을 진정시킬 수 있습니다."
article_anxiety_li22,<strong>Get enough sleep:</strong> Poor sleep can worsen anxiety. Maintain a consistent sleep schedule.,<strong>Duerme lo suficiente:</strong> El mal sueño puede empeorar la ansiedad. Mantén un horario de sueño consistente.,<strong>Dormez suffisamment :</strong> Un mauvais sommeil peut aggraver l'anxiété. Maintenez un horaire de sommeil régulier.,<strong>保证充足睡眠：</strong>睡眠不足会加重焦虑。保持规律的睡眠时间。,<strong>पर्याप्त नींद लें:</strong> खराब नींद चिंता को बढ़ा सकती है। नियमित नींद का समय बनाए रखें।,<strong>충분한 수면:</strong> 수면 부족은 불안을 악화시킬 수 있습니다. 일관된 수면 일정을 유지하세요.
article_anxiety_li23,<strong>Limit caffeine and alcohol:</strong> Both can trigger or worsen anxiety symptoms.,<strong>Limita la cafeína y el alcohol:</strong> Ambos pueden desencadenar o empeorar los síntomas de ansiedad.,<strong>Limitez la caféine et l'alcool :</strong> Les deux peuvent déclencher ou aggraver les symptômes d'anxiété.,<strong>限制咖啡因和酒精：</strong>两者都可能引发或加重焦虑症状。,<strong>कैफीन और शराब सीमित करें:</strong> दोनों चिंता के लक्षणों को ट्रिगर या बढ़ा सकते हैं।,<strong>카페인과 알코올 제한:</strong> 둘 다 불안 증상을 유발하거나 악화시킬 수 있습니다.
article_anxiety_li24,"<strong>Connect with others:</strong> Social support is crucial. Talk to friends, family, or join a support group.","<strong>Conéctate con otros:</strong> El apoyo social es crucial. Habla con amigos, familiares o únete a un grupo de apoyo.","<strong>Connectez-vous avec les autres :</strong> Le soutien social est crucial. Parlez à des amis, à la famille ou rejoignez un groupe de soutien.",<strong>与他人保持联系：</strong>社会支持至关重要。与朋友、家人交谠或加入支持小组。,"<strong>दूसरों से जुड़ें:</strong> सामाजिक समर्थन महत्वपूर्ण है। दोस्तों, परिवार से बात करें या सहायता समूह में शामिल हों।","<strong>다른 사람과 연결:</strong> 사회적 지지가 중요합니다. 친구, 가족과 대화하거나 지지 그룹에 참여하세요."
article_anxiety_li25,<strong>Challenge negative thoughts:</strong> Learn to identify and question anxious thoughts.,<strong>Desafía los pensamientos negativos:</strong> Aprende a identificar y cuestionar los pensamientos ansiosos.,<strong>Remettez en question les pensées négatives :</strong> Apprenez à identifier et à questionner les pensées anxieuses.,<strong>挑战消极想法：</strong>学会识别和质疑焦虑想法。,<strong>नकारात्मक विचारों को चुनौती दें:</strong> चिंताजनक विचारों को पहचानना और प्रश्न करना सीखें।,<strong>부정적인 생각에 도전:</strong> 불안한 생각을 식별하고 질문하는 법을 배우세요.
article_anxiety_li26,"Your anxiety is interfering with work, relationships, or daily activities","Tu ansiedad está interfiriendo con el trabajo, las relaciones o las actividades diarias","Votre anxiété interfère avec le travail, les relations ou les activités quotidiennes",您的焦虑影响了工作、人际关系或日常活动,"आपकी चिंता काम, संबंधों या दैनिक गतिविधियों में हस्तक्षेप कर रही है","불안이 직장, 관계 또는 일상 활동을 방해할 때"
article_anxiety_li27,You're avoiding situations due to fear,Estás evitando situaciones debido al miedo,Vous évitez des situations par peur,您因恐惧而回避某些情境,आप डर के कारण स्थितियों से बच रहे हैं,두려움 때문에 상황을 피하고 있을 때
article_anxiety_li28,Your anxiety feels impossible to control,Tu ansiedad se siente imposible de controlar,Votre anxiété semble impossible à contrôler,您的焦虑感觉无法控制,आपकी चिंता नियंत्रित करना असंभव लगता है,불안이 통제할 수 없다고 느껴질 때
article_anxiety_li29,You're experiencing depression along with anxiety,Estás experimentando depresión junto con ansiedad,Vous souffrez de dépression en plus de l'anxiété,除了焦虑之外，您还患有抑郁症,आपको चिंता के साथ-साथ अवसाद भी है,불안과 함께 우울증을 경험하고 있을 때
article_anxiety_li3,"Sweating or cold, clammy hands",Sudoración o manos frías y húmedas,Transpiration ou mains froides et moites,出汗或手心冰冷湿润,"पसीना या ठंडे, चिपचिपे हाथ",발한 또는 차갑고 축축한 손
article_anxiety_li30,You're using alcohol or drugs to cope,Estás usando alcohol o drogas para sobrellevarlo,Vous utilisez l'alcool ou les drogues pour faire face,您用酒精或药物来应对焦虑,आप चिंता से निपटने के लिए शराब या ड्रग्स का उपयोग कर रहे हैं,대처하기 위해 알코올이나 약물을 사용하고 있을 때
article_anxiety_li31,You have thoughts of self-harm or suicide,Tienes pensamientos de autolesión o suicidio,Vous avez des pensées d'automutilation ou de suicide,您有自我伤害或自杀的想法,आपके मन में खुद को नुकसान पहुंचाने या आत्महत्या के विचार आ रहे हैं,자해나 자살에 대한 생각이 있을 때
article_anxiety_li4,Trembling or shaking,Temblores o sacudidas,Tremblements ou secousses,颤抖或发抖,कांपना या हिलना,떨림 또는 흔들림
article_anxiety_li5,"Muscle tension, aches, or soreness","Tensión muscular, dolores o molestias","Tension musculaire, douleurs ou courbatures",肌肉紧张、疼痛或酸痛,"मांसपेशियों में तनाव, दर्द या पीड़ा","근육 긴장, 통증 또는 쑤심"
article_anxiety_li6,Headaches,Dolores de cabeza,Maux de tête,头痛,सिरदर्द,두통
article_anxiety_li7,Fatigue and exhaustion,Fatiga y agotamiento,Fatigue et épuisement,疲劳和精疲力竭,थकान और थकावट,피로와 탈진
article_anxiety_li8,Trouble sleeping or restless sleep,Problemas para dormir o sueño inquieto,Difficultés à dormir ou sommeil agité,入睡困难或睡眠不安,सोने में परेशानी या बेचैन नींद,수면 장애 또는 불안정한 수면
article_anxiety_li9,"Stomach upset, nausea, or diarrhea","Malestar estomacal, náuseas o diarrea","Maux d'estomac, nausées ou diarrhée",胃部不适、恶心或腹泻,"पेट खराब, मतली या दस्त","위장 장애, 메스꺼움 또는 설사"
article_anxiety_p1,"Anxiety is a normal human emotion that everyone experiences from time to time. It's the feeling of worry, nervousness, or unease about something with an uncertain outcome. In fact, some anxiety can be helpful—it can alert us to dangers and help us prepare for important events.","La ansiedad es una emoción humana normal que todos experimentan de vez en cuando. Es el sentimiento de preocupación, nerviosismo o inquietud sobre algo con un resultado incierto. De hecho, cierta ansiedad puede ser útil: puede alertarnos sobre peligros y ayudarnos a prepararnos para eventos importantes.","L'anxiété est une émotion humaine normale que tout le monde ressent de temps en temps. C'est le sentiment d'inquiétude, de nervosité ou de malaise face à quelque chose dont l'issue est incertaine. En fait, une certaine anxiété peut être utile—elle peut nous alerter des dangers et nous aider à nous préparer à des événements importants.",焦虑是每个人都会不时经历的正常人类情绪。它是对某些结果不确定的事情感到担忧、紧张或不安的感觉。事实上，适度的焦虑是有益的——它可以提醒我们注意危险，帮助我们为重要事件做准备。,"चिंता एक सामान्य मानवीय भावना है जो समय-समय पर सभी अनुभव करते हैं। यह किसी अनिश्चित परिणाम वाली चीज़ के बारे में चिंता, घबराहट या बेचैनी की भावना है। वास्तव में, कुछ चिंता सहायक हो सकती है—यह हमें खतरों के प्रति सचेत कर सकती है और महत्वपूर्ण घटनाओं के लिए तैयार होने में मदद कर सकती है।","불안은 누구나 때때로 경험하는 정상적인 인간의 감정입니다. 불확실한 결과를 가진 무언가에 대한 걱정, 긴장, 또는 불안의 느낌입니다. 사실, 어느 정도의 불안은 도움이 될 수 있습니다 - 위험을 경고하고 중요한 사건에 대비하도록 도와줄 수 있습니다."
article_anxiety_p10,"Anxiety disorders don't have a single cause. Instead, they result from a combination of factors:","Los trastornos de ansiedad no tienen una sola causa. En cambio, resultan de una combinación de factores:",Les troubles anxieux n'ont pas une cause unique. Ils résultent plutôt d'une combinaison de facteurs :,焦虑障碍没有单一的原因。相反，它们是多种因素共同作用的结果：,"चिंता विकारों का कोई एकल कारण नहीं है। इसके बजाय, वे कारकों के संयोजन का परिणाम हैं:","불안장애에는 단일 원인이 없습니다. 대신, 다양한 요인의 조합으로 발생합니다:"
article_anxiety_p11,"Anxiety disorders tend to run in families. If you have a close relative with an anxiety disorder, you may be more likely to develop one yourself. However, having a genetic predisposition doesn't mean you will definitely develop anxiety.","Los trastornos de ansiedad tienden a ser hereditarios. Si tienes un pariente cercano con un trastorno de ansiedad, es más probable que desarrolles uno tú mismo. Sin embargo, tener una predisposición genética no significa que definitivamente desarrollarás ansiedad.","Les troubles anxieux ont tendance à être héréditaires. Si vous avez un proche parent atteint d'un trouble anxieux, vous êtes peut-être plus susceptible d'en développer un vous-même. Cependant, avoir une prédisposition génétique ne signifie pas que vous développerez certainement de l'anxiété.",焦虑障碍往往具有家族遗传性。如果您有近亲患有焦虑障碍，您可能更容易患上焦虑障碍。然而，有遗传倾向并不意味着您一定会发展出焦虑症。,"चिंता विकार परिवारों में चलते हैं। यदि आपके किसी करीबी रिश्तेदार को चिंता विकार है, तो आपको भी यह विकसित होने की अधिक संभावना हो सकती है। हालांकि, आनुवंशिक प्रवृत्ति होने का मतलब यह नहीं है कि आपको निश्चित रूप से चिंता विकसित होगी।",불안장애는 가족력이 있는 경향이 있습니다. 불안장애가 있는 가까운 친척이 있으면 본인도 발생할 가능성이 더 높을 수 있습니다. 그러나 유전적 소인이 있다고 해서 반드시 불안이 발생한다는 것을 의미하지는 않습니다.
article_anxiety_p12,"Research suggests that anxiety disorders may be linked to faulty circuits in the brain that regulate fear and emotions. Neurotransmitters like serotonin, dopamine, and norepinephrine play important roles in mood regulation.","Las investigaciones sugieren que los trastornos de ansiedad pueden estar vinculados a circuitos defectuosos en el cerebro que regulan el miedo y las emociones. Los neurotransmisores como la serotonina, la dopamina y la norepinefrina juegan roles importantes en la regulación del estado de ánimo.","La recherche suggère que les troubles anxieux peuvent être liés à des circuits défectueux dans le cerveau qui régulent la peur et les émotions. Les neurotransmetteurs comme la sérotonine, la dopamine et la noradrénaline jouent des rôles importants dans la régulation de l'humeur.",研究表明，焦虑障碍可能与大脑中调节恐惧和情绪的回路功能异常有关。血清素、多巴胺和去甲肾上腺素等神经递质在情绪调节中起着重要作用。,"शोध बताते हैं कि चिंता विकार मस्तिष्क में भय और भावनाओं को नियंत्रित करने वाले दोषपूर्ण सर्किट से जुड़े हो सकते हैं। सेरोटोनिन, डोपामाइन और नॉरएपिनेफ्रिन जैसे न्यूरोट्रांसमीटर मूड नियमन में महत्वपूर्ण भूमिका निभाते हैं।","연구에 따르면 불안장애는 두려움과 감정을 조절하는 뇌의 결함 있는 회로와 연결될 수 있습니다. 세로토닌, 도파민, 노르에피네프린과 같은 신경전달물질은 기분 조절에 중요한 역할을 합니다."
article_anxiety_p13,"Traumatic events, chronic stress, childhood adversity, and significant life changes can trigger anxiety disorders. This includes experiences like abuse, loss of a loved one, divorce, job loss, or major health problems.","Los eventos traumáticos, el estrés crónico, la adversidad infantil y los cambios significativos en la vida pueden desencadenar trastornos de ansiedad. Esto incluye experiencias como abuso, pérdida de un ser querido, divorcio, pérdida de empleo o problemas de salud graves.","Les événements traumatiques, le stress chronique, les adversités de l'enfance et les changements de vie significatifs peuvent déclencher des troubles anxieux. Cela inclut des expériences comme les abus, la perte d'un être cher, le divorce, la perte d'emploi ou des problèmes de santé majeurs.",创伤事件、慢性压力、童年逆境和重大生活变化都可能触发焦虑障碍。这包括虐待、亲人去世、离婚、失业或重大健康问题等经历。,"दर्दनाक घटनाएं, पुराना तनाव, बचपन की प्रतिकूलता और महत्वपूर्ण जीवन परिवर्तन चिंता विकारों को ट्रिगर कर सकते हैं। इसमें दुर्व्यवहार, किसी प्रियजन की मृत्यु, तलाक, नौकरी छूटना या प्रमुख स्वास्थ्य समस्याएं जैसे अनुभव शामिल हैं।","외상적 사건, 만성 스트레스, 어린 시절의 역경, 중요한 삶의 변화가 불안장애를 유발할 수 있습니다. 여기에는 학대, 사랑하는 사람의 상실, 이혼, 실직 또는 심각한 건강 문제와 같은 경험이 포함됩니다."
article_anxiety_p14,"Certain personality traits, such as being shy, having low self-esteem, or being a perfectionist, may make some people more prone to anxiety disorders.","Ciertos rasgos de personalidad, como ser tímido, tener baja autoestima o ser perfeccionista, pueden hacer que algunas personas sean más propensas a los trastornos de ansiedad.","Certains traits de personnalité, comme être timide, avoir une faible estime de soi ou être perfectionniste, peuvent rendre certaines personnes plus sujettes aux troubles anxieux.",某些性格特征，如害羞、自尊心低或追求完美，可能使一些人更容易患焦虑障碍。,"कुछ व्यक्तित्व लक्षण, जैसे शर्मीला होना, कम आत्मसम्मान होना या पूर्णतावादी होना, कुछ लोगों को चिंता विकारों के प्रति अधिक प्रवण बना सकते हैं।","수줍음, 낮은 자존감, 완벽주의와 같은 특정 성격 특성은 일부 사람들을 불안장애에 더 취약하게 만들 수 있습니다."
article_anxiety_p15,"Anxiety disorders are highly treatable. The main treatments include psychotherapy, medication, or a combination of both.","Los trastornos de ansiedad son altamente tratables. Los principales tratamientos incluyen psicoterapia, medicación o una combinación de ambos.","Les troubles anxieux sont très traitables. Les principaux traitements comprennent la psychothérapie, les médicaments ou une combinaison des deux.",焦虑障碍是高度可治疗的。主要的治疗方法包括心理治疗、药物治疗或两者结合。,"चिंता विकार अत्यधिक उपचार योग्य हैं। मुख्य उपचारों में मनोचिकित्सा, दवा या दोनों का संयोजन शामिल है।","불안장애는 치료 가능성이 높습니다. 주요 치료에는 심리치료, 약물 또는 둘의 조합이 포함됩니다."
article_anxiety_p16,"Cognitive Behavioral Therapy (CBT) is the most effective form of psychotherapy for anxiety disorders. CBT teaches you different ways of thinking, behaving, and reacting to anxiety-producing situations. It can also help you learn and practice social skills, which is vital for treating social anxiety disorder.","La Terapia Cognitivo-Conductual (TCC) es la forma más efectiva de psicoterapia para los trastornos de ansiedad. La TCC te enseña diferentes formas de pensar, comportarte y reaccionar ante situaciones que producen ansiedad. También puede ayudarte a aprender y practicar habilidades sociales, lo cual es vital para tratar el trastorno de ansiedad social.","La Thérapie Cognitivo-Comportementale (TCC) est la forme de psychothérapie la plus efficace pour les troubles anxieux. La TCC vous enseigne différentes façons de penser, de vous comporter et de réagir aux situations anxiogènes. Elle peut également vous aider à apprendre et à pratiquer des compétences sociales, ce qui est essentiel pour traiter le trouble d'anxiété sociale.",认知行为疗法（CBT）是治疗焦虑障碍最有效的心理治疗形式。CBT教您以不同的方式思考、行为和应对引发焦虑的情境。它还可以帮助您学习和练习社交技能，这对于治疗社交焦虑障碍至关重要。,"संज्ञानात्मक व्यवहार थेरेपी (CBT) चिंता विकारों के लिए मनोचिकित्सा का सबसे प्रभावी रूप है। CBT आपको चिंता पैदा करने वाली स्थितियों के बारे में सोचने, व्यवहार करने और प्रतिक्रिया करने के विभिन्न तरीके सिखाती है। यह आपको सामाजिक कौशल सीखने और अभ्यास करने में भी मदद कर सकती है, जो सामाजिक चिंता विकार के उपचार के लिए महत्वपूर्ण है।","인지행동치료(CBT)는 불안장애에 가장 효과적인 형태의 심리치료입니다. CBT는 불안을 유발하는 상황에 대해 다르게 생각하고, 행동하고, 반응하는 방법을 가르칩니다. 또한 사회적 기술을 배우고 연습하는 데 도움이 될 수 있으며, 이는 사회불안장애 치료에 중요합니다."
